t_opt,x_true,y_true,x_fit,y_fit,abs_err_x,abs_err_y
26.0130668786469,90.95332,61.70615,79.29538865352039,55.73360890188862,11.657931346479614,5.972541098111378
26.042968373637844,90.142395,59.618473,79.32109203148532,55.748919538285556,10.821302968514672,3.869553461714446
26.07273329159778,72.07845,50.83886,79.34672931380248,55.764067243021984,7.268279313802481,4.925207243021987
26.102610780578004,63.339672,47.130627,79.37251510434395,55.779178798938716,16.032843104343947,8.648551798938719
26.132609266075324,106.090744,65.836555,79.39845734529406,55.79425725205138,26.69228665470594,10.042297747948624
26.16246674496158,91.19957,62.630554,79.42432946876856,55.80917089358071,11.775240531231432,6.821383106419283
26.192191801693838,75.1933,55.697865,79.450138258879,55.82392519777936,4.256838258879,0.12606019777935984
26.221781066021823,73.36992,52.867035,79.47588014609246,55.838519657881335,6.105960146092471,2.9714846578813336
26.251239101129418,59.97834,46.18834,79.50155845779682,55.85295768915806,19.523218457796816,9.664617689158064
26.280808741261296,104.58249,66.254265,79.52738486234479,55.86735832476381,25.055105137655218,10.38690667523619
26.310246979141542,93.471085,68.877754,79.55314710212173,55.88160324145444,13.917937897878275,12.996150758545554
26.339550384476272,97.94429,69.19832,79.57884152418694,55.89569195935062,18.365448475813054,13.302628040649374
26.368719462666423,74.18652,54.250084,79.60446791155509,55.9096259180372,5.417947911555089,1.659541918037199
26.397758862166377,66.897644,47.645424,79.63002969967314,55.923408513439306,12.732385699673145,8.277984513439307
26.426908535727865,101.69692,67.5301,79.6557380780212,55.93715368152723,22.041181921978804,11.592946318472777
26.45592445740701,107.99879,66.066864,79.68137778745334,55.950746430907024,28.317412212546657,10.116117569092971
26.484811051553738,77.5509,57.49644,79.7069520825831,55.96419002135223,2.156052082583102,1.5322499786477692
26.513564981352093,93.02741,68.34651,79.73245735605383,55.97748408387242,13.294952643946175,12.369025916127576
26.542190583016655,103.23123,66.80925,79.75789680266364,55.99063180420865,23.47333319733636,10.818618195791359
26.570684459219446,71.173195,49.771584,79.78326675337604,56.00363279990271,8.610071753376033,6.232048799902714
26.599294619145876,86.28685,57.307743,79.80878798748664,56.0166003023634,6.478062012513362,1.2911426976366016
26.627773141172877,91.41611,63.540955,79.83423930788241,56.029422018801235,11.58187069211759,7.511532981198762
26.656120525321942,90.98685,61.823547,79.85962049774676,56.04209937735883,11.127229502253243,5.781447622641167
26.68433727548277,109.02727,67.38749,79.8849313468914,56.054633802171885,29.142338653108595,11.332856197828114
26.712427709031633,98.192055,69.10881,79.91017507857377,56.06702838839657,18.281879921426224,13.041781611603433
26.74038850074623,65.541695,47.427567,79.9353480575142,56.079282841657545,14.3936530575142,8.651715841657541
26.76845993226873,70.486595,49.159534,79.96066654110976,56.09150259251338,9.474071541109765,6.931968592513378
26.79665002439652,99.25664,68.67647,79.98613830312712,56.10369015445915,19.270501696872884,12.572779845540843
26.824710095357467,92.77989,67.94629,80.01153858672984,56.11573811353338,12.768351413270153,11.830551886466623
26.852644440054412,72.92796,52.12182,80.03687062206069,56.127649505887604,7.108910622060691,4.005829505887604
26.880689336401545,68.43725,48.052586,80.06234860526008,56.13952520995122,11.625098605260078,8.086939209951225
26.908848976349116,108.792175,66.89052,80.08797685930097,56.15136606784547,28.704198140699035,10.739153932154522
26.936878699642783,65.111694,47.37081,80.11353264010384,56.16306934247832,15.001838640103841,8.792259342478324
26.965019286724527,80.72796,57.86345,80.13923538614779,56.17473573087863,0.5887246138522073,1.6887142691213697
26.9930338848519,86.27493,57.307335,80.16486867981669,56.18626719134018,6.110061320183306,1.1210678086598236
27.020922948035548,108.9266,67.14965,80.19043227410882,56.19766511146941,28.73616772589118,10.951984888530582
27.04868692842781,90.42641,60.204388,80.21592592414942,56.208930871170416,10.210484075850587,3.9954571288295853
27.076326327976506,61.57305,46.764187,80.24134943481738,56.220065863247655,18.668299434817378,9.455878863247655
27.104079072527597,84.64991,57.38144,80.26692157255583,56.23116609336169,4.382988427444175,1.1502739066383043
27.131707268706094,60.062675,46.226814,80.29242304877869,56.24213656952626,20.22974804877869,10.015322569526262
27.15944499327457,91.39406,63.445595,80.31806982219803,56.253070418498716,11.07599017780197,7.1925245815012815
27.187058222976933,72.29997,51.148727,80.34364540883527,56.26387557640503,8.04367540883527,5.115148576405026
27.21478470111798,96.78804,69.53668,80.36936991176069,56.27464524819855,16.41867008823931,13.262034751801451
27.24239048492188,72.736084,51.81124,80.39502618978155,56.2852887279017,7.658942189781541,4.474048727901703
27.27010571419354,103.11453,66.861786,80.42082802774681,56.29589493248348,22.693701972253194,10.565891067516517
27.297696517050376,105.00918,66.10778,80.44655758578081,56.30637456918372,24.56262241421919,9.801405430816288
27.325167106312747,77.25473,57.37079,80.47221813386969,56.31673043200716,3.2174881338696935,1.0540595679928373
27.35251425936353,76.58755,56.997185,80.49780600717452,56.32696249256959,3.9102560071745245,0.6702225074304096
27.37974217354607,83.2125,57.56678,80.52332448252892,56.3370735004236,2.689175517471085,1.2297064995764018
27.40685124379654,74.66855,54.993874,80.54877329210193,56.347064758636684,5.880223292101931,1.3531907586366856
27.433838381624906,98.0049,69.17688,80.57414889428875,56.35693629311343,17.430751105711252,12.81994370688657
27.460707559061976,87.03318,57.374413,80.59945438571528,56.366690713619725,6.433725614284725,1.0077222863802717
27.48745555668776,65.07935,47.366642,80.62468609995815,56.37632800126198,15.54533609995815,9.009686001261983
